time;game;playerid;win/lose;
14:35:49 ;BlackJack;76561198034611550;-10;
14:36:2 ;BlackJack;76561198034611550;-10;
14:36:6 ;BlackJack;76561198034611550;15;
14:36:13 ;BlackJack;76561198034611550;-10;
14:36:23 ;BlackJack;76561198034611550;15;
14:36:32 ;BlackJack;76561198034611550;-10;
14:36:40 ;BlackJack;76561198034611550;20;
14:36:43 ;BlackJack;76561198034611550;20;
14:36:51 ;BlackJack;76561198034611550;-10;
14:36:54 ;BlackJack;76561198034611550;10;
14:37:5 ;BlackJack;76561198034611550;15;
14:37:15 ;BlackJack;76561198034611550;-10;
14:37:20 ;BlackJack;76561198034611550;15;
14:37:24 ;BlackJack;76561198034611550;-10;
14:37:29 ;BlackJack;76561198034611550;-10;
14:37:30 ;BlackJack;76561198034611550;20;
14:37:34 ;BlackJack;76561198034611550;15;
14:37:38 ;BlackJack;76561198034611550;-10;
14:37:42 ;BlackJack;76561198034611550;15;
14:37:47 ;BlackJack;76561198034611550;15;
14:37:51 ;BlackJack;76561198034611550;-10;
14:37:56 ;BlackJack;76561198034611550;10;
14:38:4 ;BlackJack;76561198034611550;15;
14:38:10 ;BlackJack;76561198034611550;-10;
14:38:11 ;BlackJack;76561198034611550;20;
14:38:24 ;BlackJack;76561198034611550;15;
14:38:28 ;BlackJack;76561198034611550;10;
14:38:33 ;BlackJack;76561198034611550;-10;
14:38:38 ;BlackJack;76561198034611550;15;
14:38:48 ;BlackJack;76561198034611550;-10;
14:38:55 ;BlackJack;76561198034611550;-10;
